"aname1","aname2","aname3","aname4","aname5","aname6","aname7","aname8"
"강원원주시문막점","강원","원주시","강원 원주시 문막읍 건등로","강원원주시문막읍건등로40-3","033","033-734-4482","1175"
"강원원주시반곡봉산점","강원","원주시","강원 원주시 반곡길","강원원주시반곡길47","033","033-731-9986","1175"
"강원원주시태장점","강원","원주시","강원 원주시 북원로","강원원주시북원로2704-4","033","033-745-9979","1175"
"강원원주시혁신도시점","강원","원주시","강원 원주시 웅비2길","강원원주시웅비2길8","033","033-742-4479","1175"
"강원인제군서화점[B]","강원","인제군","강원 인제군 서화면 천도로","강원도인제군서화면천도로126번길6","033","033-462-4479","1175"
"강원인제군신남점","강원","인제군","강원 인제군 남면 신남로","강원도인제군남면신남로23","033","033-461-0049","1175"
"강원인제군인제점","강원","인제군","강원 인제군 인제읍 인제로","강원도인제군인제읍인제로197-1","033","033-463-7999","1175"
"강원인제군현리점","강원","인제군","강원 인제군 기린면 내린천로","강원인제군기린면내린천로3905-1","033","033-461-9294","1175"
"강원정선군정선점","강원","정선군","강원 정선군 정선읍 봉양길","강원정선군정선읍봉양6길28","033","033-562-4477","1175"
"강원철원군내대리점","강원","철원군","강원 철원군 갈말읍 두루미로","강원철원군갈말읍두루미로414","033","033-452-1111","1175"
"강원철원군동송점","강원","철원군","강원 철원군 동송읍 금학로","강원도철원군동송읍금학로202","033","033-456-0635","1175"
"강원철원군신철원점","강원","철원군","강원 철원군 갈말읍 삼부연로","강원도철원군갈말읍삼부연로17번길3-14","033","033-452-9911","1175"
"강원철원군와수리점","강원","철원군","강원 철원군 서면 와수로","강원도철원군서면와수로181번길7-16","033","033-458-5332","1175"
"강원철원군자등리점","강원","철원군","강원 철원군 서면 자등로","강원도철원군서면자등로578","033","033-458-9233","1175"
"강원철원군지경리점","강원","철원군","강원 철원군 갈말읍 청양로","강원도철원군갈말읍청양로81-1","033","033-458-3505","1175"
"강원춘천시강북점","강원","춘천시","강원 춘천시 충열로","강원춘천시충열로78-3","033","033-252-0086","1175"
"강원춘천시교동후평점","강원","춘천시","강원 춘천시 성심로","강원도춘천시성심로23-1","033","033-244-8892","1175"
"강원춘천시석사점","강원","춘천시","강원 춘천시 우석로","강원도춘천시우석로79번길4-1","033","033-262-6007","1175"
"강원춘천시칠전송암점","강원","춘천시","강원 춘천시 옛경춘로","강원춘천시옛경춘로492","033","033-251-4479","1175"
"강원춘천시퇴계점","강원","춘천시","강원 춘천시 춘주로","강원도춘천시춘주로187번길20-4","033","033-242-8119","1175"
"강원춘천시효자점","강원","춘천시","강원 춘천시 서부대성로","강원춘천시서부대성로194","033","033-256-0074","1175"
"강원태백시장성점","강원","태백시","강원 태백시 장성로","강원태백시장성로43-2","033","033-581-5677","1175"
"강원태백시태백점","강원","태백시","강원 태백시 황지로","강원태백시황지로238","033","033-554-4494","1175"
"강원평창군대관령점","강원","평창군","강원 평창군 대관령면 경강로","강원평창군대관령면경강로5166","033","033-335-9599","1175"
"강원평창군봉평점","강원","평창군","강원 평창군 봉평면 태기로","강원평창군봉평면태기로68","033","033-334-5255","1175"
"강원평창군장평점","강원","평창군","강원 평창군 용평면 경강로","강원평창군용평면경강로1663-1","033","033-333-4491","1175"
"강원평창군진부점","강원","평창군","강원 평창군 진부면 진부중앙로","강원평창군진부면진부중앙로50","033","033-336-4492","1175"
"강원홍천군대명비발디점","강원","홍천군","강원 홍천군 서면 한치골길","강원도홍천군서면한치골길48","033","033-435-4479","1175"
"강원홍천군시동점","강원","홍천군","강원 홍천군 남면 시동리","강원홍천군남면시동리5번지5925부대내","033","033-432-9288","1175"
"강원홍천군홍천점","강원","홍천군","강원 홍천군 홍천읍 갈마로","강원도홍천군홍천읍갈마로4","033","033-435-7983","1175"
"강원화천군다목리점","강원","화천군","강원 화천군 상서면 수피령로","강원도화천군상서면수피령로1306","033","033-441-9288","1175"
"강원화천군사내점","강원","화천군","강원 화천군 사내면 사내로","강원도화천군사내면사내로33","033","033-441-9292","1175"
"강원화천군산양리점","강원","화천군","강원 화천군 상서면 영서로","강원도화천군상서면영서로7740-4","033","033-442-4484","1175"
"강원화천군화천점","강원","화천군","강원 화천군 화천읍 중앙","강원도화천군화천읍중앙로5","033","033-441-9233","1175"
"강원횡성군횡성점","강원","횡성군","강원 횡성군 횡성읍 읍하로","강원횡성군횡성읍읍하로25번길14","033","033-344-4479","1175"
"경기가평군가평점","경기","가평군","경기 가평군 가평읍 석봉로","경기도가평군가평읍석봉로230","031","031-581-9982","1175"
"경기가평군북면점","경기","가평군","경기 가평군 북면 화악산로","경기도가평군북면화악산로11번길5","031","031-582-6789","1175"
"경기가평군청평점","경기","가평군","경기 가평군 청평면 잠곡로","경기도가평군청평면잠곡로3","031","031-584-7679","1175"
"경기가평군현리점","경기","가평군","경기 가평군 하면 현창로","경기도가평군하면현창로38번길2","031","031-585-9929","1175"
"경기고양시가좌점","경기","고양시","경기 고양시 일산서구 가좌로","경기고양시일산서구가좌1로38","031","031-921-9292","1175"
"경기고양시고양동점","경기","고양시","경기 고양시 덕양구 혜음로","경기도고양시덕양구혜음로56","031","031-964-5592","1175"
"경기고양시관산점","경기","고양시","경기 고양시 덕양구 통일로","경기도고양시덕양구통일로780번길16","031","031-969-2225","1175"
"경기고양시능곡점","경기","시흥시","경기 시흥시 장현능곡로","경기고양시덕양구행당로2","031","031-974-9956","1175"
"경기고양시대화점","경기","고양시","경기 고양시 일산서구 강성로","경기도고양시일산서구강성로214번길16-4","031","031-925-5592","1175"
"경기고양시덕이점","경기","고양시","경기 고양시 일산서구 탄중로","경기도고양시일산서구탄중로101번길60","031","031-923-1311","1175"
"경기고양시라페스타점","경기","고양시","경기 고양시 일산동구 무궁화로","경기도고양시일산동구무궁화로7-45","031","031-905-9982","1175"
"경기고양시문촌점","경기","고양시","경기 고양시 일산서구 킨텍스로","경기도고양시일산서구킨텍스로340","031","031-912-4479","1175"
"경기고양시백마점","경기","고양시","경기 고양시 일산동구 경의로","경기도고양시일산동구경의로309","031","031-904-4482","1175"
"경기고양시백석1점","경기","고양시","경기 고양시 일산동구 백석로","경기도고양시일산동구백석로72번길22","031","031-907-8845","1175"
"경기고양시성사점","경기","고양시","경기 고양시 덕양구 마상로","경기고양시덕양구마상로169","031","031-962-7792","1175"
"경기고양시성석점","경기","고양시","경기 고양시 일산동구 성현로","경기도고양시일산동구성현로41-6","031","031-977-4412","1175"
"경기고양시식사동점","경기","고양시","경기 고양시 일산동구 동국로","경기도고양시일산동구위시티2로33","031","031-963-4414","1175"
"경기고양시신원점","경기","고양시","경기 고양시 덕양구 권율대로","경기도고양시덕양구권율대로831판매시설동지1층103호","031","02-381-4492","1175"
"경기고양시일산점","경기","고양시","경기 고양시 일산서구 원일로","경기고양시일산서구원일로45번길10","031","031-975-2676","1175"
"경기고양시주교점","경기","고양시","경기 고양시 덕양구 원당로","경기도고양시덕양구원당로69번길14","031","031-965-9234","1175"
"경기고양시주엽1점","경기","고양시","경기 고양시 일산서구 대산로","경기도고양시일산서구대산로58","031","031-912-8892","1175"
"경기고양시중산점","경기","고양시","경기 고양시 일산동구 탄중로","경기도고양시일산동구탄중로417번길7-3","031","031-975-4492","1175"
"경기고양시풍동점","경기","고양시","경기 고양시 일산동구 숲속마을로","경기도고양시일산동구숲속마을2로106-2","031","031-966-4492","1175"
"경기고양시행신2점","경기","고양시","경기 고양시 덕양구 무원로","경기도고양시덕양구무원로6무원빌딩111호","031","031-973-0702","1175"
"경기고양시행신3점","경기","고양시","경기 고양시 덕양구 화신로","경기도고양시덕양구화신로105상가동103호","031","031-978-1629","1175"
"경기고양시화정1점","경기","고양시","경기 고양시 덕양구 화중로","경기고양시덕양구화중로130번길5-37","031","031-968-9288","1175"
"경기고양시화정2점","경기","고양시","경기도 고양시 덕양구 화정로","경기고양시덕양구화정로86","031","031-978-4445","1175"
"경기과천시과천1점","경기","과천시","경기 과천시 별양로","경기도과천시별양로85","031","02-503-7070","1175"
"경기광명시광명사거리점","경기","광명시","경기 광명시 오리로","경기광명시오리로985번안길7","02","02-2682-9292","1175"
"경기광명시광명시장점","경기","광명시","경기 광명시 광이로","경기광명시광이로32","02","02-2618-4479","1175"
"경기광명시광명KTX역점","경기","광명시","경기 광명시 일직로","경기광명시일직로99번안길18","02","02-898-9242","1175"
"경기광명시소하점","경기","광명시","경기 광명시 신촌로","경기광명시신촌로5","02","02-897-8293","1175"
"경기광명시철산역점","경기","광명시","경기 광명시 디지털로","경기광명시광덕산로5푸르지오하늘채아파트종합","02","02-2612-9979","1175"
"경기광명시철산점","경기","광명시","경기 광명시 도덕공원로","경기광명시도덕공원로68","02","02-2681-8585","1175"
"경기광명시하안점","경기","광명시","경기 광명시 하안로","경기광명시하안로254","02","02-894-4482","1175"
"경기광주시곤지암점","경기","광주시","경기 광주시 곤지암읍 평촌길","경기도광주시곤지암읍평촌길30-21","031","031-798-9050","1175"
"경기광주시광주점","경기","광주시","경기 광주시 통미로","경기광주시통미로60","031","031-768-9913","1175"
"경기광주시신현점","경기","광주시","경기 광주시 오포읍 신현로","경기도광주시오포읍신현로44-10102호","031","031-726-4413","1175"
"경기광주시양벌점","경기","광주시","경기 광주시 오포읍 양벌로","경기도광주시오포읍양촌안길40","031","031-765-9964","1175"
"경기광주시오포2호점","경기","광주시","경기 광주시 오포읍 오포로","경기도광주시오포읍오포로347","031","031-765-4456","1175"
"경기광주시태전점","경기","광주시","경기 광주시 태봉로","경기도광주시태봉로20","031","031-767-9200","1175"
"경기구리시교문점","경기","구리시","경기 구리시 안골로","경기구리시안골로20번길6","031","031-566-9982","1175"
"경기구리시수택점","경기","구리시","경기 구리시 원수택로","경기도구리시원수택로45","031","031-569-6622","1175"
"경기구리시인창점","경기","구리시","경기 구리시 건원대로","경기도구리시건원대로99번길80","031","031-565-4470","1175"
"경기군포시군포점","경기","군포시","경기 군포시 군포로","경기도군포시군포로490번길12","031","031-391-1147","1175"
"경기군포시금정점","경기","군포시","경기 군포시 당산로","경기도군포시당산로197번길4","031","031-396-9255","1175"
"경기군포시대야미점","경기","군포시","경기 군포시 대야로","경기도군포시대야1로13","031","031-438-7292","1175"
"경기군포시산본목련점","경기","군포시","경기 군포시 고산로","경기도군포시고산로643번길9","031","031-391-9250","1175"
"경기군포시산본역점[B]","경기","군포시","경기 군포시 쟁골길","경기도군포시쟁골2길16","031","031-398-7878","1175"
"경기김포시고촌점","경기","김포시","경기 김포시 고촌읍 은행영사정로","경기도김포시고촌읍은행영사정로35102","031","031-984-4492","1175"
"경기김포시김포1호점","경기","김포시","경기 김포시 관순로","경기도김포시관순로28","031","031-983-0998","1175"
"경기김포시마송점","경기","김포시","경기 김포시 통진읍 조강로","경기도김포시통진읍조강로102","031","031-998-7272","1175"
"경기김포시양곡점","경기","김포시","경기 김포시 김포한강로","경기도김포시김포한강9로121","031","031-981-1322","1175"
"경기김포시장기점","경기","김포시","경기 김포시 김포한강로","경기도김포시김포한강3로290-16","031","031-985-9945","1175"
"경기김포시풍무점","경기","김포시","경기 김포시 양도로","경기도김포시양도로18","031","031-982-5592","1175"
"경기남양주시광릉내점","경기","남양주시","경기 남양주시 진접읍 광릉내로","경기도남양주시진접읍광릉내로82번길27","031","031-575-8244","1175"
"경기남양주시금곡점","경기","남양주시","경기 남양주시 경춘로","경기도남양주시경춘로992번길1","031","031-591-4292","1175"
"경기남양주시덕소2호점","경기","남양주시","경기 남양주시 와부읍 수레로","경기도남양주시와부읍수레로59","031","031-521-6249","1175"
"경기남양주시덕소점[B]","경기","남양주시","경기 남양주시 와부읍 덕소로","경기도남양주시와부읍덕소로284번길10-7","031","031-577-9005","1175"
"경기남양주시도농점","경기","남양주시","경기 남양주시 미금로","경기도남양주시미금로42번길20-1","031","031-551-6692","1175"
"경기남양주시별내2호점","경기","남양주시","경기 남양주시 두물로","경기남양주시두물로39번길22-14","031","031-574-4479","1175"
"경기남양주시별내점","경기","남양주시","경기 남양주시 불암산로","경기도남양주시별내3로63","031","031-529-4479","1175"
"경기남양주시사능점","경기","남양주시","경기 남양주시 진건읍 진건오남로","경기도남양주시진건읍진건오남로86번길36","031","031-575-8123","1175"
"경기남양주시수동점","경기","남양주시","경기 남양주시 수동면 비룡로","경기도남양주시수동면비룡로788","031","031-511-2230","1175"
"경기남양주시오남리점","경기","남양주시","경기 남양주시 오남읍 진건오남로","경기도남양주시오남읍진건오남로595-22","031","031-574-9989","1175"
"경기남양주시월산점","경기","남양주시","경기 남양주시 화도읍 경춘로","경기도남양주시화도읍경춘로2186","031","031-593-3233","1175"
"경기남양주시진접지구점","경기","남양주시","경기 남양주시 진접읍 해밀예당로","경기도남양주시진접읍해밀예당2로125","031","031-574-4492","1175"
"경기남양주시창현점","경기","남양주시","경기 남양주시 화도읍 창현로","경기도남양주시화도읍수레로1234-26","031","031-593-4482","1175"
"경기남양주시천마산점","경기","남양주시","경기 남양주시 화도읍 먹갓로","경기남양주시화도읍먹갓로28번길15","031","031-559-9233","1175"
"경기남양주시퇴계원점","경기","남양주시","경기 남양주시 퇴계원면 퇴계원로","경기남양주시퇴계원면퇴계원로78번길3-2","031","031-571-9925","1175"
"경기남양주시평내점","경기","남양주시","경기 남양주시 경춘로","경기도남양주시경춘로1286번안길24","031","031-556-4479","1175"
"경기남양주시호평점","경기","남양주시","경기도 남양주시 천마산로","경기남양주시천마산로16번길2","031","031-559-6054","1175"
"경기동두천시생연점","경기","동두천시","경기 동두천시 삼육사로","경기도동두천시삼육사로980","031","031-862-9298","1175"
"경기동두천시송내지구점","경기","동두천시","경기 동두천시 동두천로","경기도동두천시동두천로149","031","031-857-4144","1175"
"경기동두천시중앙점","경기","동두천시","경기 동두천시 동광로","경기도동두천시동광로81번길15","031","031-861-2234","1175"
"경기부천시고강점","경기","부천시","경기 부천시 오정구 역곡로","경기도부천시오정구역곡로472번길31","032","032-683-2511","1175"
"경기부천시범박점","경기","부천시","경기 부천시 소사구 소사동로","경기도부천시소사구소사동로93","032","032-349-5551","1175"
"경기부천시상동북부점","경기","부천시","경기 부천시 원미구 송내대로","경기도부천시원미구송내대로265번길37","032","032-329-4555","1175"
"경기부천시상동점","경기","부천시","경기 부천시 원미구 조마루로","경기부천시조마루로105번길8-8","032","032-324-9282","1175"
"경기부천시소사점","경기","부천시","경기 부천시 소사구 은성로","경기도부천시소사구은성로68번길23","032","032-351-9989","1175"
"경기부천시송내점","경기","부천시","경기 부천시 소사구 송내대로","경기도부천시소사구송내대로30번길71","032","032-655-6573","1175"
"경기부천시심곡북부점","경기","부천시","경기 부천시 원미구 부흥로","경기도부천시원미구부흥로450","032","032-666-9272","1175"
"경기부천시심곡점","경기","부천시","경기 부천시 소사구 심곡로","경기도부천시소사구심곡로67번길67","032","032-612-9120","1175"
"경기부천시여월점","경기","부천시","경기 부천시 오정구 삼작로","경기부천시삼작로335","032","032-682-4479","1175"
"경기부천시역곡남부점","경기","부천시","경기 부천시 소사구 부광로","경기도부천시소사구부광로23","032","032-342-5554","1175"
"경기부천시역곡점","경기","부천시","경기 부천시 원미구 역곡로","경기도부천시원미구역곡로20번길86","032","032-341-9992","1175"
"경기부천시오정점","경기","부천시","경기 부천시 오정구 부천로","경기도부천시오정구부천로478번길96","032","032-672-9494","1175"
"경기부천시원미점","경기","부천시","경기 부천시 원미구 조마루로","경기도부천시원미구조마루로386번길26","032","032-614-7272","1175"
"경기부천시원종점","경기","부천시","경기 부천시 오정구 소사로","경기도부천시오정구소사로775번길50","032","032-675-5592","1175"
"경기부천시중동1점","경기","부천시","경기 부천시 원미구 중동로","경기부천시중동로171번길13-1","032","032-657-9282","1175"
"경기부천시중동약대점","경기","부천시","경기 부천시 원미구 도약로","경기도부천시원미구도약로221번길64","032","032-682-9982","1175"
"경기성남시구미점","경기","성남시","경기 성남시 분당구","경기도성남시분당구미금로45","031","031-712-9285","1175"
"경기성남시금광점","경기","성남시","경기 성남시 중원구 산성대로","경기도성남시중원구산성대로382번길58","031","031-742-9282","1175"
"경기성남시도촌점","경기","성남시","경기 성남시 중원구 도촌로","경기도성남시중원구도촌로12","031","031-721-4479","1175"
"경기성남시동판교점[B]","경기","성남시","경기 성남시 분당구 동판교로","경기성남시분당구동판교로52번길17-4","031","031-8017-2226","1175"
"경기성남시상대원점","경기","성남시","경기 성남시 중원구 박석로","경기도성남시중원구박석로93번길2-1","031","031-735-4777","1175"
"경기성남시서판교점","경기","성남시","경기 성남시 분당구 판교로","경기성남시분당구판교로25번길22-6","031","031-8017-4479","1175"
"경기성남시서현점[B]","경기","성남시","경기 성남시 분당구 중앙공원로","경기도성남시분당구중앙공원로54234동104호","031","031-715-7978","1175"
"경기성남시성남점","경기","성남시","경기 성남시 중원구 원터로","경기성남시중원구원터로105번길8","031","031-755-7551","1175"
"경기성남시수내점[B]","경기","성남시","경기 성남시 분당구 발이봉북로","경기성남시분당구발이봉북로24번길1","031","031-715-7975","1175"
"경기성남시수진점","경기","성남시","경기 성남시 수정구 산성대로","경기도성남시수정구산성대로157번길27-2","031","031-752-9936","1175"
"경기성남시신흥점","경기","성남시","경기 성남시 수정구 수정남로","경기도성남시수정구수정남로236-1","031","031-742-9913","1175"
"경기성남시야탑점","경기","성남시","경기 성남시 분당구 매화로","경기성남시분당구매화로48번길12-6","031","031-706-4479","1175"
"경기성남시위례중앙점","경기","성남시","경기 성남시 수정구 위례서일로1길","경기성남시수정구위례서일로1길21-8","031","031-721-4482","1175"
"경기성남시이매점","경기","성남시","경기 성남시 분당구 성남대로","경기도성남시분당구성남대로779번길52","031","031-703-4471","1175"
"경기성남시정자2호점","경기","성남시","경기 성남시 분당구 정자로","경기도성남시분당구정자로143","031","031-715-4462","1175"
"경기성남시정자점","경기","성남시","경기 성남시 분당구 백현로","경기도성남시분당구백현로152","031","031-714-4482","1175"
"경기성남시태평점","경기","성남시","경기 성남시 수정구 탄리로","경기성남시수정구탄리로132번길9","031","031-751-9913","1175"
"경기수원시고색오목점","경기","수원시","경기 수원시 권선구 고산로","경기도수원시권선구고산로27번길43","031","031-291-6630","1175"
"경기수원시곡반정점","경기","수원시","경기 수원시 권선구 곡선로","경기도수원시권선구곡선로50번길22-10","031","031-267-4479","1175"
"경기수원시광교1호점","경기","수원시","경기 수원시 영통구 법조로","경기수원시영통구법조로149번길171","031","031-214-4479","1175"
"경기수원시구운탑동점","경기","수원시","경기 수원시 권선구 구운로","경기도수원시권선구구운로57번길3","031","031-278-3001","1175"
"경기수원시권선점[B]","경기","수원시","경기 수원시 권선구 권중로","경기수원시권선구권중로56번길35","031","031-232-4479","1175"
"경기수원시매교세류점","경기","수원시","경기 수원시 팔달구 효원로","경기도수원시팔달구효원로73","031","031-898-5993","1175"
"경기수원시매탄2동점","경기","수원시","경기 수원시 영통구 산남로","경기도수원시영통구산남로74","031","031-212-0055","1175"
"경기수원시매탄권선점","경기","수원시","경기 수원시 영통구 권선로","경기도수원시영통구권선로811","031","031-235-7795","1175"
"경기수원시세류2호점","경기","수원시","경기 수원시 권선구 덕영대로","경기도수원시권선구덕영대로1152번길38","031","031-226-4482","1175"
"경기수원시신매탄점","경기","수원시","경기 수원시 영통구 매탄로","경기수원시영통구매탄로140번길54-2","031","031-217-9577","1175"
"경기수원시신영통점","경기","수원시","경기 수원시 영통구 태장로","경기도수원시영통구태장로7번길6","031","031-205-9285","1175"
"경기수원시연무점[B]","경기","수원시","경기 수원시 장안구 연무로","경기수원시장안구연무로33","031","031-257-4392","1175"
"경기수원시영통1호점","경기","수원시","경기 수원시 영통구 매영로","경기수원시영통구매영로398번길4","031","031-273-9285","1175"
"경기수원시영화점[B]","경기","수원시","경기 수원시 장안구 장안로","경기수원시장안구장안로30","031","031-257-4479","1175"
"경기수원시우만점","경기","수원시","경기 수원시 팔달구 중부대로","경기도수원시팔달구중부대로223번길20-7","031","031-211-8208","1175"
"경기수원시율천점","경기","수원시","경기 수원시 장안구 율전로","경기도수원시장안구율전로80번길5","031","031-293-9291","1175"
"경기수원시인계점","경기","수원시","경기 수원시 팔달구 장다리로","경기수원시팔달구장다리로245번길21","031","031-221-1292","1175"
"경기수원시인계중앙점","경기","수원시","경기 수원시 팔달구 권광로","경기수원시팔달구권광로243","031","031-212-4495","1175"
"경기수원시정자1동점","경기","수원시","경기 수원시 장안구 대평로","경기도수원시장안구대평로162번길50","031","031-258-4492","1175"
"경기수원시정자2동점","경기","수원시","경기 수원시 장안구 수성로","경기수원시장안구수성로245번길30","031","031-255-4492","1175"
"경기수원시조원점","경기","수원시","경기 수원시 장안구 조원로","경기도수원시장안구조원로107","031","031-245-9291","1175"
"경기수원시호매실점","경기","수원시","경기 수원시 권선구 매실로","경기도수원시권선구매실로34","031","031-298-9299","1175"
"경기수원시화서꽃뫼점","경기","수원시","경기 수원시 팔달구 일월로","경기도수원시팔달구일월로18번길4-13","031","031-278-4492","1175"
"경기수원시화서점","경기","수원시","경기 수원시 팔달구 팔달로","경기수원시팔달구팔달로119번길34-1","031","031-242-5582","1175"
"경기시흥시거모점[B]","경기","시흥시","경기 시흥시 한우물로","경기도시흥시한우물로25","031","031-495-4479","1175"
"경기시흥시능곡점","경기","시흥시","경기 시흥시 장현능곡로","경기도시흥시장현능곡로178","031","031-318-9222","1175"
"경기시흥시목감점","경기","시흥시","경기 시흥시 논곡길","경기시흥시논곡길1","031","031-411-4479","1175"
"경기시흥시시화점","경기","시흥시","경기 시흥시 중심상가로","경기도시흥시중심상가로39","031","031-434-9998","1175"
"경기시흥시신천점[B]","경기","시흥시","경기 시흥시 신천로","경기시흥시신천로100번안길10","031","031-315-9922","1175"
"경기시흥시연성2지구점","경기","시흥시","경기 시흥시 장곡로","경기시흥시장곡로15","031","031-318-4492","1175"
"경기시흥시오이도역점","경기","시흥시","경기 시흥시 함송로","경기도시흥시함송로24","031","031-499-7192","1175"
"경기시흥시월곶점","경기","시흥시","경기 시흥시 월곶중앙로","경기도시흥시월곶중앙로90","031","031-404-7706","1175"
"경기시흥시은행점","경기","시흥시","경기 시흥시 은행로","경기도시흥시은행로167번길3","031","031-404-5551","1175"
"경기시흥시정왕점","경기","시흥시","경기 시흥시 정왕천로","경기도시흥시정왕천로427번길6-1102호","031","031-432-0961","1175"
"경기안산시본오1호점","경기","안산시","경기 안산시 상록구 반석로","경기도안산시상록구반석로80","031","031-406-3274","1175"
"경기안산시본오2호점","경기","안산시","경기 안산시 상록구 본원로","경기안산시상록구본원로2길3","031","031-408-4479","1175"
"경기안산시사동점","경기","안산시","경기 안산시 상록구 감골로","경기도안산시상록구감골2로47","031","031-406-0999","1175"
"경기안산시선부1동점","경기","안산시","경기 안산시 단원구 선부광장서로","경기도안산시단원구선부광장서로1길5바동108호","031","031-402-4003","1175"
"경기안산시선부1점","경기","안산시","경기 안산시 단원구 화정천서로","경기도안산시단원구화정천서로3길8-1","031","031-480-9931","1175"
"경기안산시신길지구점","경기","안산시","경기 안산시 단원구 도일로","경기도안산시단원구도일로24","031","031-508-0202","1175"
"경기안산시신도시점","경기","안산시","경기 안산시 단원구 광덕로","경기도안산시단원구광덕3로215","031","031-414-4479","1175"
"경기안산시와동점","경기","안산시","경기 안산시 단원구 선부로","경기도안산시단원구선부로244","031","031-401-4406","1175"
"경기안산시원곡점","경기","안산시","경기 안산시 단원구 원선로","경기도안산시단원구원선로55","031","031-492-7755","1175"
"경기안산시월피점","경기","안산시","경기 안산시 상록구 예술광장로","경기도안산시상록구예술광장1로48","031","031-405-4492","1175"
"경기안산시일동점","경기","안산시","경기 안산시 상록구 식물원로","경기안산시상록구식물원로4길7","031","031-502-4479","1175"
"경기안산시중앙점[B]","경기","안산시","경기 안산시 단원구 예술대학로","경기도안산시단원구예술대학로147","031","031-405-4482","1175"
"경기안산시초지점","경기","안산시","경기 안산시 단원구 초지로","경기도안산시단원구초지로128","031","031-487-4485","1175"
"경기안성시공도2점","경기","안성시","경기 안성시 공도읍 공도3로","경기안성시공도읍공도3로34-1","031","031-652-8279","1175"
"경기안성시동아방송대점","경기","안성시","경기 안성시 삼죽면 동아예대길","경기안성시삼죽면동아예대길61-3","031","031-674-4447","1175"
"경기안성시안성1점[B]","경기","안성시","경기 안성시 안성맞춤대로","경기안성시안성맞춤대로1104","031","031-674-4430","1175"
"경기안성시일죽점","경기","안성시","경기 안성시 일죽면 금일로","경기안성시일죽면금일로476-1","031","031-672-5648","1175"
"경기안성시죽산점","경기","안성시","경기 안성시 죽산면 중부길","경기안성시죽산면중부길39","031","031-676-8929","1175"
"경기안성시중앙대점","경기","안성시","경기 안성시 대덕면 중앙대학로","경기안성시대덕면중앙대학로1461층","031","031-675-4479","1175"
